truth threshold is 4.5
num_features	lambda	mse	top_n	true_pos	false_pos	true_neg	false_neg	precision	recall
105	0.17	1.51296185191	7450	2451	4999	10482	2069	0.328993288590604	0.5422566371681415
105	0.17	1.51296185191	7550	2472	5078	10403	2048	0.32741721854304634	0.5469026548672566
105	0.17	1.51296185191	7650	2499	5151	10330	2021	0.32666666666666666	0.5528761061946903
105	0.17	1.51296185191	7750	2520	5230	10251	2000	0.3251612903225806	0.5575221238938053
105	0.17	1.51296185191	7850	2550	5300	10181	1970	0.3248407643312102	0.5641592920353983
105	0.17	1.51296185191	7950	2572	5378	10103	1948	0.32352201257861635	0.5690265486725664
105	0.17	1.51296185191	8050	2591	5459	10022	1929	0.32186335403726707	0.5732300884955752
105	0.17	1.51296185191	8150	2611	5539	9942	1909	0.32036809815950923	0.5776548672566372
105	0.17	1.51296185191	8250	2640	5610	9871	1880	0.32	0.584070796460177
105	0.17	1.51296185191	8350	2660	5690	9791	1860	0.318562874251497	0.588495575221239
105	0.17	1.51296185191	8450	2688	5762	9719	1832	0.31810650887573966	0.5946902654867257
105	0.17	1.51296185191	8550	2717	5833	9648	1803	0.31777777777777777	0.6011061946902655
105	0.17	1.51296185191	8650	2737	5913	9568	1783	0.31641618497109825	0.6055309734513274
105	0.17	1.51296185191	8750	2760	5990	9491	1760	0.31542857142857145	0.6106194690265486
105	0.17	1.51296185191	8850	2786	6064	9417	1734	0.31480225988700566	0.6163716814159292
105	0.17	1.51296185191	8950	2815	6135	9346	1705	0.31452513966480444	0.6227876106194691
105	0.17	1.51296185191	9050	2835	6215	9266	1685	0.3132596685082873	0.6272123893805309
105	0.17	1.51296185191	9150	2856	6294	9187	1664	0.3121311475409836	0.631858407079646
105	0.17	1.51296185191	9250	2873	6377	9104	1647	0.3105945945945946	0.6356194690265486
105	0.17	1.51296185191	9350	2887	6463	9018	1633	0.30877005347593584	0.638716814159292
105	0.17	1.51296185191	9450	2918	6532	8949	1602	0.30878306878306877	0.6455752212389381
105	0.17	1.51296185191	9550	2943	6607	8874	1577	0.30816753926701573	0.6511061946902655
105	0.17	1.51296185191	9650	2963	6687	8794	1557	0.30704663212435235	0.6555309734513274
105	0.17	1.51296185191	9750	2987	6763	8718	1533	0.30635897435897436	0.6608407079646018
105	0.17	1.51296185191	9850	3010	6840	8641	1510	0.30558375634517765	0.665929203539823
105	0.17	1.51296185191	9950	3027	6923	8558	1493	0.3042211055276382	0.6696902654867256
105	0.17	1.51296185191	10050	3049	7001	8480	1471	0.30338308457711444	0.6745575221238939
105	0.17	1.51296185191	10150	3069	7081	8400	1451	0.3023645320197044	0.6789823008849557
105	0.17	1.51296185191	10250	3092	7158	8323	1428	0.30165853658536584	0.684070796460177
105	0.17	1.51296185191	10350	3113	7237	8244	1407	0.30077294685990336	0.6887168141592921
105	0.17	1.51296185191	10450	3139	7311	8170	1381	0.30038277511961725	0.6944690265486726
105	0.17	1.51296185191	10550	3164	7386	8095	1356	0.2999052132701422	0.7
105	0.17	1.51296185191	10650	3178	7472	8009	1342	0.2984037558685446	0.7030973451327434
105	0.17	1.51296185191	10750	3205	7545	7936	1315	0.2981395348837209	0.709070796460177
105	0.17	1.51296185191	10850	3224	7626	7855	1296	0.29714285714285715	0.7132743362831858
105	0.17	1.51296185191	10950	3244	7706	7775	1276	0.29625570776255705	0.7176991150442478
105	0.17	1.51296185191	11050	3263	7787	7694	1257	0.2952941176470588	0.7219026548672567
105	0.17	1.51296185191	11150	3285	7865	7616	1235	0.2946188340807175	0.7267699115044248
105	0.17	1.51296185191	11250	3301	7949	7532	1219	0.2934222222222222	0.7303097345132743
105	0.17	1.51296185191	11350	3322	8028	7453	1198	0.2926872246696035	0.7349557522123894
105	0.17	1.51296185191	11450	3341	8109	7372	1179	0.29179039301310045	0.7391592920353982
105	0.17	1.51296185191	11550	3361	8189	7292	1159	0.290995670995671	0.7435840707964602
105	0.17	1.51296185191	11650	3378	8272	7209	1142	0.2899570815450644	0.7473451327433628
105	0.17	1.51296185191	11750	3407	8343	7138	1113	0.28995744680851065	0.7537610619469026
105	0.17	1.51296185191	11850	3420	8430	7051	1100	0.28860759493670884	0.7566371681415929
105	0.17	1.51296185191	11950	3439	8511	6970	1081	0.2877824267782427	0.7608407079646018
105	0.17	1.51296185191	12050	3457	8593	6888	1063	0.28688796680497924	0.7648230088495576
105	0.17	1.51296185191	12150	3482	8668	6813	1038	0.28658436213991767	0.7703539823008849
105	0.17	1.51296185191	12250	3494	8756	6725	1026	0.28522448979591836	0.7730088495575221
105	0.17	1.51296185191	12350	3510	8840	6641	1010	0.28421052631578947	0.7765486725663717
105	0.17	1.51296185191	12450	3528	8922	6559	992	0.2833734939759036	0.7805309734513274
105	0.17	1.51296185191	12550	3539	9011	6470	981	0.28199203187251	0.7829646017699115
105	0.17	1.51296185191	12650	3563	9087	6394	957	0.2816600790513834	0.7882743362831859
