truth threshold is 3 stars
num_features	lambda	mse	top_n	true_pos	false_pos	true_neg	false_neg	precision	recall
105	0.17	1.51399930003	9400	8372	1028	2570	8031	0.8906382978723404	0.5103944400414558
105	0.17	1.51399930003	9500	8457	1043	2555	7946	0.8902105263157895	0.5155764189477534
105	0.17	1.51399930003	9600	8533	1067	2531	7870	0.8888541666666666	0.5202097177345607
105	0.17	1.51399930003	9700	8622	1078	2520	7781	0.8888659793814433	0.5256355544717429
105	0.17	1.51399930003	9800	8704	1096	2502	7699	0.8881632653061224	0.5306346400048771
105	0.17	1.51399930003	9900	8789	1111	2487	7614	0.8877777777777778	0.5358166189111748
105	0.17	1.51399930003	10000	8871	1129	2469	7532	0.8871	0.5408157044443089
105	0.17	1.51399930003	10100	8955	1145	2453	7448	0.8866336633663366	0.5459367188928854
105	0.17	1.51399930003	10200	9043	1157	2441	7360	0.8865686274509804	0.5513015911723466
105	0.17	1.51399930003	10300	9129	1171	2427	7274	0.8863106796116504	0.5565445345363653
105	0.17	1.51399930003	10400	9213	1187	2411	7190	0.8858653846153847	0.5616655489849418
105	0.17	1.51399930003	10500	9300	1200	2398	7103	0.8857142857142857	0.5669694568066818
105	0.17	1.51399930003	10600	9388	1212	2386	7015	0.8856603773584906	0.5723343290861428
105	0.17	1.51399930003	10700	9475	1225	2373	6928	0.8855140186915887	0.5776382369078827
105	0.17	1.51399930003	10800	9559	1241	2357	6844	0.8850925925925925	0.5827592513564592
105	0.17	1.51399930003	10900	9643	1257	2341	6760	0.8846788990825688	0.5878802658050357
105	0.17	1.51399930003	11000	9727	1273	2325	6676	0.8842727272727273	0.5930012802536121
105	0.17	1.51399930003	11100	9804	1296	2302	6599	0.8832432432432432	0.5976955434981406
105	0.17	1.51399930003	11200	9884	1316	2282	6519	0.8825	0.6025727001158324
105	0.17	1.51399930003	11300	9968	1332	2266	6435	0.8821238938053098	0.6076937145644089
105	0.17	1.51399930003	11400	10054	1346	2252	6349	0.8819298245614036	0.6129366579284278
105	0.17	1.51399930003	11500	10137	1363	2235	6266	0.8814782608695653	0.6179967079192831
105	0.17	1.51399930003	11600	10223	1377	2221	6180	0.8812931034482758	0.6232396512833018
105	0.17	1.51399930003	11700	10302	1398	2200	6101	0.8805128205128205	0.6280558434432726
105	0.17	1.51399930003	11800	10385	1415	2183	6018	0.8800847457627119	0.6331158934341279
105	0.17	1.51399930003	11900	10461	1439	2159	5942	0.8790756302521009	0.6377491922209352
105	0.17	1.53978551072	12000	10553	1447	2119	5882	0.8794166666666666	0.6421052631578947
105	0.17	1.53978551072	12100	10633	1467	2099	5802	0.8787603305785124	0.6469729236385762
105	0.17	1.53978551072	12200	10722	1478	2088	5713	0.8788524590163934	0.6523881959233343
105	0.17	1.53978551072	12300	10806	1494	2072	5629	0.8785365853658537	0.6574992394280499
105	0.17	1.53978551072	12400	10891	1509	2057	5544	0.8783064516129032	0.662671128688774
